[1725868954932694] [SEND] seq:82 ack:0 flag:8 length:0
[1725868954983906] [RECV] seq:3455 ack:83 flag:12 length:0
[1725868954984126] [SEND] seq:83 ack:3456 flag:4 length:0
[1725868957984701] [SEND] seq:84 ack:3456 flag:4 length:12
[1725868957985075] [SEND] seq:96 ack:3456 flag:4 length:10
[1725868958049845] [RECV] seq:3456 ack:106 flag:4 length:12
[1725868960050789] [RECV] seq:3478 ack:106 flag:4 length:22
[1725868962058015] [SEND] seq:106 ack:3468 flag:4 length:12
[1725868962058364] [SEND] seq:118 ack:3468 flag:4 length:10
