[1725868954962931] [RECV] seq:82 ack:0 flag:8 length:0
[1725868954963177] [SEND] seq:3455 ack:83 flag:12 length:0
[1725868955016735] [RECV] seq:83 ack:3456 flag:4 length:0
[1725868958004884] [RECV] seq:84 ack:3456 flag:4 length:12
[1725868958017033] [RECV] seq:96 ack:3456 flag:4 length:10
[1725868958017585] [SEND] seq:3456 ack:106 flag:4 length:12
[1725868958017795] [SEND] seq:3468 ack:106 flag:4 length:10
[1725868960018364] [SEND] seq:3478 ack:106 flag:4 length:22
[1725868962078187] [RECV] seq:106 ack:3468 flag:4 length:12
[1725868962078450] [RECV] seq:118 ack:3468 flag:4 length:10
